sort,WKT,Layer,SubClasses,ExtendedEn,Linetype,EntityHand,Text,Z,Extracted_,Difference,
0.011817523,POINT Z (1527982.81 3799206.86 4420.26),DTM_POINT,AcDbEntity:AcDbPoint,,,1385,,1346.851457,1347.297943,-0.44648573,<Geometry>POINT Z (1527982.81 3799206.86 4420.26)</Geometry>
0.012065354,POINT Z (1527862.06 3799286.69 4420.92),DTM_POINT,AcDbEntity:AcDbPoint,,,122E,,1346.834238,1347.499111,-0.66487337,<Geometry>POINT Z (1527862.06 3799286.69 4420.92)</Geometry>
0.012108451,POINT Z (1527977.09 3799290.58 4420.86),DTM_POINT,AcDbEntity:AcDbPoint,,,1.10E+10,,1346.936532,1347.480823,-0.54429122,<Geometry>POINT Z (1527977.09 3799290.58 4420.86)</Geometry>
0.012274365,POINT Z (1528607.53 3799227.12 4421.74),DTM_POINT,AcDbEntity:AcDbPoint,,,B73,,1347.422995,1347.749048,-0.32605217,<Geometry>POINT Z (1528607.53 3799227.12 4421.74)</Geometry>
0.012412488,POINT Z (1528748.86 3799296.81 4424.18),DTM_POINT,AcDbEntity:AcDbPoint,,,72B,,1347.465763,1348.492761,-1.02699761,<Geometry>POINT Z (1528748.86 3799296.81 4424.18)</Geometry>
0.012412659,POINT Z (1528216.98 3799211.0 4420.46),DTM_POINT,AcDbEntity:AcDbPoint,,,E0B,,1347.134785,1347.358903,-0.22411733,<Geometry>POINT Z (1528216.98 3799211.0 4420.46)</Geometry>
0.01256333,POINT Z (1528074.37 3799211.81 4421.01),DTM_POINT,AcDbEntity:AcDbPoint,,,E66,,1346.950345,1347.526543,-0.57619763,<Geometry>POINT Z (1528074.37 3799211.81 4421.01)</Geometry>
0.012707718,POINT Z (1528274.03 3799276.0 4421.51),DTM_POINT,AcDbEntity:AcDbPoint,,,42A,,1347.210898,1347.678943,-0.46804551,<Geometry>POINT Z (1528274.03 3799276.0 4421.51)</Geometry>
0.012733394,POINT Z (1528022.97 3799233.05 4420.59),DTM_POINT,AcDbEntity:AcDbPoint,,,DE7,,1346.932567,1347.398527,-0.46596027,<Geometry>POINT Z (1528022.97 3799233.05 4420.59)</Geometry>
0.012952257,POINT Z (1528212.76 3799238.49 4420.67),DTM_POINT,AcDbEntity:AcDbPoint,,,F4F,,1347.139506,1347.422911,-0.28340464,<Geometry>POINT Z (1528212.76 3799238.49 4420.67)</Geometry>
0.013092056,POINT Z (1528667.86 3799211.14 4421.71),DTM_POINT,AcDbEntity:AcDbPoint,,,C1E,,1347.433945,1347.739903,-0.30595801,<Geometry>POINT Z (1528667.86 3799211.14 4421.71)</Geometry>
0.013615562,POINT Z (1528412.62 3799207.3 4421.3),DTM_POINT,AcDbEntity:AcDbPoint,,,D83,,1347.249268,1347.614935,-0.36566683,<Geometry>POINT Z (1528412.62 3799207.3 4421.3)</Geometry>
0.013653017,POINT Z (1528225.17 3799318.88 4421.53),DTM_POINT,AcDbEntity:AcDbPoint,,,7B6,,1347.127798,1347.685039,-0.5572417,<Geometry>POINT Z (1528225.17 3799318.88 4421.53)</Geometry>
0.013765537,POINT Z (1528211.77 3799312.86 4421.45),DTM_POINT,AcDbEntity:AcDbPoint,,,1.00E+10,,1347.133327,1347.660655,-0.52732814,<Geometry>POINT Z (1528211.77 3799312.86 4421.45)</Geometry>
0.014284665,POINT Z (1527947.5 3799292.96 4420.87),DTM_POINT,AcDbEntity:AcDbPoint,,,1.10E+06,,1346.926797,1347.483871,-0.55707422,<Geometry>POINT Z (1527947.5 3799292.96 4420.87)</Geometry>
0.014301316,POINT Z (1527832.36 3799244.27 4420.61),DTM_POINT,AcDbEntity:AcDbPoint,,,12FC,,1346.827628,1347.404623,-0.57699477,<Geometry>POINT Z (1527832.36 3799244.27 4420.61)</Geometry>
0.014400328,POINT Z (1528017.26 3799288.06 4420.85),DTM_POINT,AcDbEntity:AcDbPoint,,,A7F,,1346.94121,1347.477775,-0.53656459,<Geometry>POINT Z (1528017.26 3799288.06 4420.85)</Geometry>
0.014537174,POINT Z (1528769.46 3799302.16 4421.39),DTM_POINT,AcDbEntity:AcDbPoint,,,6F0,,1347.513872,1347.642367,-0.12849559,<Geometry>POINT Z (1528769.46 3799302.16 4421.39)</Geometry>
0.014579461,POINT Z (1527873.37 3799312.61 4421.2),DTM_POINT,AcDbEntity:AcDbPoint,,,16FD,,1346.830346,1347.584455,-0.75410868,<Geometry>POINT Z (1527873.37 3799312.61 4421.2)</Geometry>
0.014641876,POINT Z (1528658.35 3799267.2 4421.87),DTM_POINT,AcDbEntity:AcDbPoint,,,8C9,,1347.43741,1347.788672,-0.35126194,<Geometry>POINT Z (1528658.35 3799267.2 4421.87)</Geometry>
0.014906539,POINT Z (1528127.61 3799204.4 4421.22),DTM_POINT,AcDbEntity:AcDbPoint,,,EC7,,1347.033862,1347.590551,-0.55668923,<Geometry>POINT Z (1528127.61 3799204.4 4421.22)</Geometry>
0.01499436,POINT Z (1527841.62 3799268.25 4420.75),DTM_POINT,AcDbEntity:AcDbPoint,,,1293,,1346.838296,1347.447295,-0.60899889,<Geometry>POINT Z (1527841.62 3799268.25 4420.75)</Geometry>
0.015001287,POINT Z (1527728.05 3799271.11 4420.5),DTM_POINT,AcDbEntity:AcDbPoint,,,1623,,1346.732405,1347.371095,-0.6386896,<Geometry>POINT Z (1527728.05 3799271.11 4420.5)</Geometry>
0.015035877,POINT Z (1527797.92 3799266.84 4420.83),DTM_POINT,AcDbEntity:AcDbPoint,,,15CD,,1346.823012,1347.471679,-0.64866732,<Geometry>POINT Z (1527797.92 3799266.84 4420.83)</Geometry>
0.015036694,POINT Z (1528733.07 3799283.74 4422.45),DTM_POINT,AcDbEntity:AcDbPoint,,,46D,,1347.432029,1347.965456,-0.53342725,<Geometry>POINT Z (1528733.07 3799283.74 4422.45)</Geometry>
0.015348592,POINT Z (1528407.79 3799310.68 4422.19),DTM_POINT,AcDbEntity:AcDbPoint,,,77F,,1347.300825,1347.886208,-0.58538268,<Geometry>POINT Z (1528407.79 3799310.68 4422.19)</Geometry>
0.015622564,POINT Z (1528478.13 3799307.9 4421.85),DTM_POINT,AcDbEntity:AcDbPoint,,,776,,1347.337209,1347.782576,-0.44536626,<Geometry>POINT Z (1528478.13 3799307.9 4421.85)</Geometry>
0.015630993,POINT Z (1528011.57 3799319.41 4421.06),DTM_POINT,AcDbEntity:AcDbPoint,,,88D,,1346.93867,1347.541783,-0.60311266,<Geometry>POINT Z (1528011.57 3799319.41 4421.06)</Geometry>
0.015646045,POINT Z (1528182.79 3799257.34 4420.82),DTM_POINT,AcDbEntity:AcDbPoint,,,BB8,,1347.123586,1347.468631,-0.34504529,<Geometry>POINT Z (1528182.79 3799257.34 4420.82)</Geometry>
0.015940172,POINT Z (1527761.13 3799284.2 4420.87),DTM_POINT,AcDbEntity:AcDbPoint,,,166B,,1346.757029,1347.483871,-0.72684174,<Geometry>POINT Z (1527761.13 3799284.2 4420.87)</Geometry>
0.016123869,POINT Z (1528637.05 3799265.71 4421.9),DTM_POINT,AcDbEntity:AcDbPoint,,,3A1,,1347.441828,1347.797816,-0.35598719,<Geometry>POINT Z (1528637.05 3799265.71 4421.9)</Geometry>
0.016177675,POINT Z (1527927.52 3799262.91 4420.65),DTM_POINT,AcDbEntity:AcDbPoint,,,154E,,1346.845691,1347.416815,-0.57112336,<Geometry>POINT Z (1527927.52 3799262.91 4420.65)</Geometry>
0.016528418,POINT Z (1528277.16 3799206.84 4420.44),DTM_POINT,AcDbEntity:AcDbPoint,,,F4,,1347.149493,1347.352807,-0.2033136,<Geometry>POINT Z (1528277.16 3799206.84 4420.44)</Geometry>
